#,carat,cut,color,clarity,depth,table,price,x,y,z
20306,1.24,Ideal,H,VS1,61.0,57.0,8719,6.91,6.95,4.23
20474,1.48,Very Good,H,SI1,62.5,59.0,8815,7.16,7.23,4.5
27736,1.6,Ideal,F,VS1,62.0,56.0,18780,7.47,7.52,4.65
45193,0.51,Ideal,E,VS2,60.4,57.0,1656,5.15,5.18,3.12
677,0.75,Fair,D,SI2,64.6,57.0,2848,5.74,5.72,3.7
9053,0.34,Premium,I,SI1,60.4,56.0,589,4.56,4.54,2.75
16642,1.04,Good,F,VS1,63.9,55.0,6653,6.49,6.4,4.12
30135,0.32,Premium,G,VS2,62.5,58.0,720,4.38,4.36,2.73
42767,0.58,Ideal,E,SI2,62.8,56.0,1346,5.3,5.37,3.35
6320,1.01,Good,F,SI2,61.3,62.0,4028,6.44,6.48,3.96
43988,0.28,Good,G,VS2,61.8,61.0,394,4.2,4.21,2.6
11270,1.06,Very Good,E,SI2,62.1,56.0,4972,6.52,6.59,4.07
26450,1.53,Ideal,G,VVS1,61.8,55.0,15992,7.43,7.45,4.59
36060,0.31,Ideal,G,IF,62.6,57.0,924,4.3,4.32,2.7
28767,0.31,Ideal,E,VS2,61.9,55.0,680,4.34,4.38,2.7
48263,0.7,Good,F,SI1,64.3,63.0,1955,5.55,5.58,3.58
28486,0.34,Premium,H,VVS1,61.2,58.0,672,4.48,4.51,2.75
48288,0.73,Ideal,J,SI1,61.3,57.0,1956,5.82,5.8,3.56
8653,1.07,Good,E,SI2,60.0,62.0,4453,6.57,6.62,3.96
19113,1.05,Premium,F,VS1,61.0,58.0,7879,6.6,6.55,4.01
38121,0.3,Premium,G,VVS1,60.5,59.0,1013,4.36,4.33,2.63
52010,0.59,Ideal,G,IF,62.0,54.0,2444,5.38,5.43,3.35
52792,0.61,Very Good,G,VVS1,61.1,56.0,2569,5.47,5.5,3.35
36608,0.32,Very Good,G,SI1,62.8,56.0,477,4.34,4.36,2.73
32969,0.32,Good,H,SI1,63.7,55.0,461,4.3,4.33,2.75
10916,1.2,Ideal,I,SI2,59.6,61.0,4890,6.95,6.97,4.15
23371,0.33,Ideal,D,SI2,62.9,56.0,631,4.43,4.41,2.78
1513,0.81,Premium,D,SI2,61.7,58.0,2994,5.97,5.93,3.67
9690,1.0,Very Good,H,VS2,63.3,62.0,4652,6.37,6.29,4.01
51489,0.71,Ideal,F,SI1,62.9,57.0,2381,5.71,5.65,3.57
10061,0.31,Ideal,H,SI1,61.5,56.0,591,4.36,4.39,2.69
29526,0.38,Ideal,I,VS1,61.9,54.7,703,4.63,4.68,2.88
25680,1.7,Premium,F,SI1,62.4,57.0,14611,7.61,7.56,4.73
3775,0.8,Very Good,F,VS1,63.7,56.0,3460,5.87,5.9,3.75
16455,1.21,Premium,H,SI1,59.8,58.0,6573,6.95,6.9,4.14
46935,0.52,Ideal,E,VS2,60.9,57.0,1815,5.23,5.21,3.18
11596,1.22,Premium,J,SI1,61.9,58.0,5042,6.87,6.84,4.24
32585,0.31,Ideal,G,IF,62.0,54.0,801,4.35,4.39,2.71
44184,0.5,Very Good,H,VVS2,62.9,56.0,1569,5.03,5.08,3.18
33151,0.31,Premium,G,VVS1,61.4,58.0,816,4.32,4.35,2.66
35780,0.32,Ideal,F,VVS1,61.8,55.0,912,4.39,4.41,2.72
5643,0.9,Good,D,SI1,62.4,63.0,3880,6.04,6.13,3.8
39421,0.41,Premium,F,VS1,60.8,58.0,1076,4.82,4.76,2.91
24651,1.63,Ideal,G,SI1,60.6,57.0,12990,7.63,7.68,4.63
4951,0.9,Good,F,SI1,61.0,62.0,3733,6.17,6.26,3.79
15067,1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1
27281,2.01,Premium,F,SI2,61.3,61.0,17746,8.02,7.96,4.9
7250,1.18,Premium,J,SI2,61.3,60.0,4197,6.78,6.83,4.17
