Math English Literature SAT
1 90 68 46 800
2 26 50 7 463
3 37 91 88 663
4 57 55 20 550
5 91 12 53 669
6 20 44 10 445
7 90 19 38 686
8 95 43 75 784
9 66 22 70 627
10 63 97 9 745
11 6 45 61 463
12 20 78 2 493
13 17 15 65 359
14 69 87 98 800
15 38 20 85 519
16 77 17 85 724
17 50 16 39 544
18 72 57 80 688
19 100 73 41 800
20 38 88 25 605
21 78 71 42 738
22 94 48 50 791
23 21 82 86 594
24 65 1 73 576
25 12 100 98 605
26 26 64 10 525
27 38 43 84 602
28 1 2 45 273
29 38 76 85 634
30 87 21 57 738
31 34 100 97 726
32 48 91 73 704
33 60 71 28 653
34 49 73 74 672
35 18 47 7 395
36 83 87 90 800
37 67 16 13 575
38 80 62 56 774
39 10 29 60 335
40 73 46 13 658
41 41 4 51 484
42 82 17 37 606
43 65 5 0 441
44 79 95 4 800
45 55 34 89 618
46 53 52 83 673
47 79 63 41 740
48 2 23 93 427
49 48 52 48 629
50 73 81 47 791
51 69 35 66 691
52 48 86 16 665
53 86 3 9 630
54 44 98 87 705
55 24 75 24 562
56 7 27 56 320
57 10 68 85 444
58 31 35 35 456
59 52 95 98 793
60 66 34 87 688
61 41 3 76 496
62 92 35 22 718
63 29 39 77 495
64 46 36 88 598
65 33 96 4 634
66 65 38 20 593
67 26 55 86 564
68 48 93 65 727
69 77 92 87 800
70 8 24 82 358
71 88 72 36 792
72 34 35 9 453
73 84 55 58 758
74 35 75 66 618
75 33 82 83 634
76 48 87 46 646
77 90 3 99 673
78 87 22 75 750
79 39 37 13 479
80 78 30 21 663
81 97 73 85 800
82 43 70 46 644
83 71 91 92 800
84 40 85 92 676
85 32 78 82 642
86 76 40 57 707
87 20 58 62 520
88 71 7 80 641
89 12 88 44 521
90 24 96 40 588
91 14 51 57 434
92 24 93 15 560
93 5 13 81 334
94 64 24 50 638
95 88 49 14 724
96 78 47 11 712
97 80 43 11 657
98 45 3 0 399
99 41 65 24 590
100 81 72 88 800
101 61 35 7 526
102 66 95 13 759
103 35 75 4 571
104 27 5 3 321
105 100 99 92 800
106 63 22 84 611
107 21 3 18 305
108 13 26 50 374
109 48 72 31 600
110 93 25 27 745
111 60 23 12 532
112 98 2 43 674
113 73 26 70 618
114 36 69 33 565
115 43 3 70 457
116 14 6 84 364
117 1 40 89 396
118 72 49 77 676
119 10 63 32 447
120 45 73 4 584
121 64 7 90 618
122 100 42 64 791
123 50 98 56 666
124 48 82 77 758
125 17 22 9 380
126 76 49 75 728
127 45 1 88 462
128 51 26 0 480
129 20 45 94 507
130 23 74 41 465
131 60 100 79 789
132 58 33 98 654
133 7 95 33 548
134 3 97 79 507
135 64 90 9 780
136 93 49 4 769
137 60 79 52 713
138 56 81 4 634
139 53 68 9 619
140 99 58 69 800
141 51 33 3 550
142 68 0 43 556
143 60 6 76 545
144 24 8 84 458
145 26 1 38 393
146 73 33 62 656
147 45 12 34 435
148 17 59 53 475
149 75 3 26 578
150 10 0 57 305
151 87 16 91 698
152 62 84 57 717
153 56 77 5 661
154 33 27 10 442
155 45 19 33 493
156 50 22 100 572
157 18 6 72 375
158 53 6 7 422
159 7 16 62 370
160 28 7 49 344
161 21 4 27 326
162 28 52 29 475
163 90 79 48 800
164 45 70 97 756
165 78 6 42 674
166 88 1 85 676
167 41 44 96 614
168 6 15 28 305
169 33 72 54 596
170 73 71 58 775
171 34 89 25 573
172 63 32 88 594
173 84 98 89 800
174 86 99 99 800
175 39 3 10 373
176 38 90 62 667
177 90 83 71 800
178 65 73 15 685
179 74 29 89 716
180 61 50 16 609
181 91 43 12 686
182 29 61 98 626
183 19 93 63 580
184 89 24 1 611
185 50 27 83 563
186 88 74 100 800
187 19 75 87 542
188 76 93 40 750
189 73 46 94 713
190 95 86 32 800
191 55 31 98 635
192 71 21 56 674
193 39 93 58 643
194 10 5 83 328
195 93 41 20 710
196 28 46 62 536
197 59 42 22 560
198 11 67 2 407
199 84 76 76 800
200 32 92 64 599
201 79 82 5 724
202 27 9 68 407
203 22 17 69 371
204 52 64 75 677
205 27 88 12 481
206 18 59 15 426
207 52 26 17 484
208 56 89 0 638
209 13 18 64 410
210 25 49 37 492
211 72 0 28 602
212 97 36 17 764
213 10 44 20 377
214 77 12 22 574
215 95 63 25 800
216 82 30 17 661
217 31 24 93 496
218 65 36 34 568
219 96 90 8 800
220 96 100 38 800
221 34 73 54 551
222 26 100 79 650
223 16 54 32 425
224 32 43 84 573
225 51 97 100 764
226 93 14 21 701
227 51 6 44 500
228 30 2 38 388
229 4 61 97 473
230 42 70 64 665
231 86 80 81 800
232 35 13 92 475
233 13 16 5 307
234 37 99 48 664
235 63 40 70 717
236 39 18 4 417
237 69 48 76 734
238 69 54 59 702
239 56 33 51 632
240 43 100 45 700
241 45 53 2 547
242 30 13 97 488
243 58 44 99 652
244 91 62 64 800
245 14 20 42 376
246 41 13 26 411
247 21 78 8 526
248 43 64 33 543
249 13 28 90 396
250 46 19 30 449
251 95 26 40 731
252 76 53 57 762
253 94 69 60 800
254 47 38 57 554
255 60 96 22 723
256 48 11 82 488
257 10 3 3 247
258 25 50 63 499
259 50 58 43 641
260 37 84 36 627
261 94 66 78 800
262 52 95 17 642
263 32 51 49 499
264 28 8 74 367
265 79 100 51 800
266 70 40 47 684
267 16 90 59 544
268 6 88 57 528
269 76 29 66 707
270 62 13 87 585
271 17 26 40 371
272 6 0 96 398
273 11 82 38 480
274 38 17 17 434
275 17 85 23 540
276 30 16 95 480
277 19 77 8 482
278 25 52 19 420
279 18 27 7 412
280 48 34 61 542
281 77 71 21 699
282 2 59 59 404
283 53 47 23 626
284 88 33 39 659
285 37 97 35 631
286 4 65 92 446
287 14 19 11 289
288 32 36 25 458
289 15 51 18 424
290 13 89 75 610
291 22 15 94 433
292 22 23 49 423
293 13 16 65 290
294 99 62 17 800
295 33 50 60 586
296 51 19 89 592
297 68 41 49 653
298 10 58 1 379
299 12 31 18 331
300 5 48 30 387
301 93 94 27 800
302 68 4 6 560
303 9 54 35 347
304 49 44 58 591
305 46 91 54 667
306 37 88 61 638
307 100 16 49 728
308 17 75 13 448
309 82 40 97 782
310 6 56 74 428
311 40 8 37 392
312 14 11 15 338
313 19 93 22 525
314 84 88 75 800
315 72 16 5 559
316 26 53 59 477
317 49 93 15 675
318 8 32 77 414
319 35 16 100 471
320 97 95 17 800
321 63 46 62 654
322 67 22 54 637
323 31 0 82 427
324 40 62 32 571
325 100 40 58 800
326 86 90 7 800
327 96 51 57 780
328 82 97 56 800
329 79 2 43 562
330 27 38 97 540
331 76 39 71 722
332 99 34 26 731
333 29 36 93 496
334 40 64 42 650
335 82 3 82 665
336 7 70 76 498
337 36 82 41 578
338 44 51 51 622
339 15 11 54 393
340 58 91 98 794
341 97 41 7 736
342 99 47 77 800
343 17 72 88 545
344 54 24 99 609
345 38 30 97 499
346 68 71 64 760
347 27 77 6 595
348 47 1 12 433
349 17 55 49 428
350 37 65 66 623
351 73 94 19 787
352 49 69 17 612
353 6 25 11 302
354 79 41 15 681
355 42 12 86 502
356 99 13 42 669
357 28 64 88 599
358 85 34 83 762
359 8 42 98 486
360 89 94 64 800
361 47 38 69 534
362 11 23 80 350
363 33 69 3 537
364 84 0 82 699
365 27 69 69 545
366 59 79 43 696
367 84 51 24 678
368 7 31 0 331
369 70 74 42 687
370 70 30 43 635
371 46 78 60 682
372 44 11 99 537
373 56 80 53 707
374 93 49 52 770
375 23 84 79 577
376 22 76 8 491
377 42 91 25 631
378 33 28 36 447
379 87 45 25 767
380 17 27 17 348
381 49 33 57 615
382 43 87 48 622
383 56 11 81 595
384 66 40 75 692
385 98 41 35 729
386 23 37 81 532
387 24 17 25 339
388 80 26 59 654
389 83 66 15 724
390 11 82 17 433
391 97 42 22 743
392 14 16 79 377
393 14 29 39 375
394 93 81 92 800
395 51 16 12 403
396 15 79 99 561
397 35 52 76 558
398 66 32 31 587
399 31 27 2 361
400 35 80 68 608
401 14 10 44 386
